ID	COGID	POS	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	ALIGNMENT	STEDT_ANALYSIS	STEDT_ID
369	111	other	black	Atsi	black	1005.3	Atsi [Zaiwa] TBL	noʔ²¹  | 1005.30	black		92	TBL		163	noʔ²¹	noʔ²¹	black	n o ʔ ²¹	396807	n o ʔ ²¹	2483	13268
370	111	other	black	Bola	black	1005.32	Bola (Luxi) TBL	naʔ³¹  | 1005.32	black		92	TBL		163	naʔ³¹	naʔ³¹	black	n a ʔ ³¹	396809	n a ʔ ³¹	2483	5259
373	111	other	black	Lashi	black	1005.33	Leqi (Luxi) TBL	nɔːʔ³¹  | 1005.33	black		92	TBL		163	nɔːʔ³¹	nɔːʔ³¹	black	n ɔː ʔ ³¹	396810	n ɔː ʔ ³¹	2483	12267
374	111	other	black	Maru	black	1005.31	Langsu (Luxi) TBL	nɔʔ³¹  | 1005.31	black		92	TBL		163	nɔʔ³¹	nɔʔ³¹	black	n ɔ ʔ ³¹	396808	n ɔ ʔ ³¹	2483	13559
375	111	other	black	Xiandao	black	1005.29	Achang (Xiandao) TBL	nɔʔ⁵⁵  | 1005.29	black		92	TBL		163	nɔʔ⁵⁵	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	396806	n ɔ ʔ ⁵⁵	2483	12861
5528	111	other	black	Rangoon		1005.27			black		92	TBL		163	nɛʔ⁴	nɛʔ⁴	black	n ɛ ʔ ⁴	396804	n ɛ ʔ ⁴	2483	10692
5966	111	other	black	Written_Burmese		1005.26			black		92	TBL		163	nɑk⁴	nɑk⁴	black	n a k ⁴	396803	n a k ⁴	2483	13070
674	169	other	cold (of temperature)	Atsi	cold (weather, water)	1063.3	Atsi [Zaiwa] TBL	kjoʔ²¹  | 1063.30	cold	bad concept	153	TBL		1287	kjoʔ²¹	kjoʔ²¹	cold (water)	k j o ʔ ²¹	399721	k j o - ʔ ²¹	10003	7482
3337	12	other	correct (right)	Atsi	right / correct	1045.3	Atsi [Zaiwa] TBL	tʃo²¹  | 1045.30	correct		605	TBL		1725	tʃo²¹	tʃo²¹	right / correct	tʃ o ²¹	398784	tʃ o ²¹	5790	3186
3339	12	other	correct (right)	Bola	right / correct	1045.32	Bola (Luxi) TBL	tʃɔ³¹  | 1045.32	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398786	tʃ ɔ ³¹	5790	12702
3343	12	other	correct (right)	Maru	right / correct	1045.31	Langsu (Luxi) TBL	tʃɔ³¹  | 1045.31	correct		605	TBL		1725	tʃɔ³¹	tʃɔ³¹	right / correct	tʃ ɔ ³¹	398785	tʃ ɔ ³¹	5790	13438
6142	86		dark	Achang_Longchuan	dark	1013.28	Achang (Longchuan)	ɕin⁵⁵	dark		1251	TBL		706		ɕin⁵⁵		ɕ i n ⁵⁵	36912	ɕ i n ⁵⁵	2672	11321
6201	84		dark	Maru	dark	1013.31	Langsu (Luxi)	nɔʔ³¹	black		92	TBL		706		nɔʔ³¹		n ɔ ʔ ³¹	44189	n ɔ ʔ ³¹	2483	13560
6304	84		dark	Atsi	dark	1013.3	Atsi [Zaiwa]	noʔ²¹	black		92	TBL		706		noʔ²¹		n o ʔ ²¹	42349	n o ʔ ²¹	2483	13269
6430	84		dark	Bola	dark	1013.32	Bola (Luxi)	naʔ³¹	black		92	TBL		706		naʔ³¹		n a ʔ ³¹	45981	n a ʔ ³¹	2483	5260
5459	287	other	dirty	Rangoon		1086.27			dirty1 dirty2		209 210	TBL		1230	ȵiʔ⁴pɑʔ⁴	ȵiʔ⁴pɑʔ⁴	dirty	nʲ i ʔ ⁴ + p ɑ ʔ ⁴	400876	nʲ i ʔ ⁴ ◦ p ɑ ʔ ⁴	2520 10000	5964
5898	287	other	dirty	Written_Burmese		1086.26			dirty1 dirty2		209 210	TBL		1230	ȵɑs⁴pɑt⁴	ȵɑs⁴pɑt⁴	dirty	ŋʲ a ts ⁴ + p a t ⁴	400875	ŋʲ a ts ⁴ ◦ p a t ⁴	2520 10005	3272
1039	329	other	dry	Atsi	dry	1028.3	Atsi [Zaiwa] TBL	xui⁵⁵  | 1028.30	dry		233	TBL		1398	xui⁵⁵	xui⁵⁵	dry	x u i ⁵⁵	397972	x u i ⁵⁵	3298	5098
1040	329	other	dry	Bola	dry	1028.32	Bola (Luxi) TBL	kja̱uʔ⁵⁵  | 1028.32	dry		232	TBL		1398	kja̱uʔ⁵⁵	kja̱uʔ⁵⁵	dry	k j a̰ u ʔ ⁵⁵	397974	k j a̰ u ʔ ⁵⁵	10011	6525
1043	329	other	dry	Lashi	dry	1028.33	Leqi (Luxi) TBL	kju̱ːʔ⁵⁵  | 1028.33	dry		232	TBL		1398	kju̱ːʔ⁵⁵	kju̱ːʔ⁵⁵	dry	k j ṵː ʔ ⁵⁵	397975	k j - ṵː ʔ ⁵⁵	10008	11619
1044	329	other	dry	Maru	dry	1028.31	Langsu (Luxi) TBL	fai⁵⁵  | 1028.31	dry		233	TBL		1398	fai⁵⁵	fai⁵⁵	dry	f a i ⁵⁵	397973	f a i ⁵⁵	3298	12327
5416	329	other	dry	Rangoon		1028.27			dry		232	TBL		1398	tɕhɑuʔ⁴	ʨʰɑuʔ⁴	dry	tɕʰ ɑ u ʔ ⁴	397969	tɕʰ - ɑ u ʔ ⁴	10001	3654
6144	94		early	Achang_Longchuan	early	1018.28	Achang (Longchuan)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	36917	n ɔ ʔ ⁵⁵	6227	10910
6202	94		early	Maru	early	1018.31	Langsu (Luxi)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	44194	n ɔ ʔ ⁵⁵	6227	13561
6307	94		early	Atsi	early	1018.3	Atsi [Zaiwa]	noʔ²¹	early		35	TBL		672		noʔ²¹		n o ʔ ²¹	42354	n o ʔ ²¹	6227	13270
6474	94		early	Lashi	early	1018.33	Leqi (Luxi)	nɔːʔ⁵⁵	early		35	TBL		672		nɔːʔ⁵⁵		n ɔː ʔ ⁵⁵	47794	n ɔː ʔ ⁵⁵	6227	12268
6536	94		early	Xiandao	early	1018.29	Achang (Xiandao)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	38697	n ɔ ʔ ⁵⁵	6227	12862
6604	94		early	Bola	early	1018.32	Bola (Luxi)	naʔ⁵⁵	early		35	TBL		672		naʔ⁵⁵		n a ʔ ⁵⁵	45986	n a ʔ ⁵⁵	6227	5261
1841	688	other	heavy	Achang_Longchuan	heavy	1014.28	Achang (Longchuan) TBL	li³¹  | 1014.28	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397253	l i - ³¹	2415	5634
1843	688	other	heavy	Atsi	heavy	1014.3	Atsi [Zaiwa] TBL	lai²¹  | 1014.30	heavy		355	TBL		1210	lai²¹	lai²¹	heavy	l a i ²¹	397255	l a i ²¹	2415	7552
1844	688	other	heavy	Bola	heavy	1014.32	Bola (Luxi) TBL	li³¹  | 1014.32	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397257	l i - ³¹	2415	5224
1847	688	other	heavy	Lashi	heavy	1014.33	Leqi (Luxi) TBL	laːi³³  | 1014.33	heavy		355	TBL		1210	laːi³³	laːi³³	heavy	l aː i ³³	397258	l aː i ³³	2415	11636
1848	688	other	heavy	Maru	heavy	1014.31	Langsu (Luxi) TBL	la³⁵  | 1014.31	heavy		355	TBL		1210	la³⁵	la³⁵	heavy	l a ³⁵	397256	l a - ³⁵	2415	12525
1849	688	other	heavy	Xiandao	heavy	1014.29	Achang (Xiandao) TBL	lai³¹  | 1014.29	heavy		355	TBL		1210	lai³¹	lai³¹	heavy	l a i ³¹	397254	l a i ³¹	2415	12722
5664	688	other	heavy	Rangoon		1014.27			heavy		355	TBL		1210	le⁵⁵	le⁵⁵	heavy	l e ⁵⁵	397252	l e - ⁵⁵	2415	4178
6099	688	other	heavy	Written_Burmese		1014.26			heavy		355	TBL		1210	le³	le³	heavy	l e ³	397251	l e - ³	2415	13213
6145	97		late	Achang_Longchuan	late	1019.28	Achang (Longchuan)	l̥ɔ³¹	late		1259	TBL		477		l̥ɔ³¹		l̥ ɔ ³¹	36918	l̥ ɔ ³¹	6231	5704
2393	903	other	light (of weight)	Achang_Longchuan	light (weight)	1015.28	Achang (Longchuan) TBL	ʑaŋ⁵⁵  | 1015.28	light		20	TBL		1052	ʑaŋ⁵⁵	ʑaŋ⁵⁵	light (weight)	ʑ a ŋ ⁵⁵	397303	ʑ a ŋ ⁵⁵	2789	11380
2398	903	other	light (of weight)	Xiandao	light (weight)	1015.29	Achang (Xiandao) TBL	jaŋ⁵⁵  | 1015.29	lightweight		20	TBL		1052	jaŋ⁵⁵	jaŋ⁵⁵	light (weight)	j a ŋ ⁵⁵	397304	j a ŋ ⁵⁵	2789	11452
2810	1112	other	new	Achang_Longchuan	new	1050.28	Achang (Longchuan) TBL	ʂək⁵⁵  | 1050.28	new		510	TBL		1231	ʂək⁵⁵	ʂək⁵⁵	new	ʂ ə k ⁵⁵	399035	ʂ ə k ⁵⁵	6178	11342
2812	1112	other	new	Atsi	new	1050.3	Atsi [Zaiwa] TBL	a²¹ sik⁵⁵  | 1050.30	a-prefix new		1117 510	TBL		1231	a²¹sik⁵⁵|	a²¹sik⁵⁵	new	a ²¹ + s i k ⁵⁵	399037	a ²¹ ◦ s i k ⁵⁵	6178	7172
2814	1112	other	new	Bola	new	1050.32	Bola (Luxi) TBL	sak⁵⁵  | 1050.32	new		510	TBL		1231	sak⁵⁵	sak⁵⁵	new	s a k ⁵⁵	399039	s a k ⁵⁵	6178	12605
2817	1112	other	new	Lashi	new	1050.33	Leqi (Luxi) TBL	sə̱ːk⁵⁵  | 1050.33	new		510	TBL		1231	sə̱ːk⁵⁵	sə̱ːk⁵⁵	new	s ə̰ː k ⁵⁵	399040	s ə̰ː k ⁵⁵	6178	12314
2818	1112	other	new	Maru	new	1050.31	Langsu (Luxi) TBL	sa̱k⁵⁵  | 1050.31	new		510	TBL		1231	sa̱k⁵⁵	sa̱k⁵⁵	new	s a̰ k ⁵⁵	399038	s a̰ k ⁵⁵	6178	13668
2820	1112	other	new	Xiandao	new	1050.29	Achang (Xiandao) TBL	ʂɯk⁵⁵  | 1050.29	new		510	TBL		1231	ʂɯk⁵⁵	ʂɯk⁵⁵	new	ʂ ɯ k ⁵⁵	399036	ʂ ɯ k ⁵⁵	6178	6630
2880	1119	other	old (of person)	Achang_Longchuan	old / elderly	1058.28	Achang (Longchuan) TBL	muaŋ³¹  | 1058.28	old		520	TBL		2112	muaŋ³¹	muaŋ³¹	old / elderly	m u a ŋ ³¹	399458	m u a ŋ ³¹	2440	5762
2883	1119	other	old (of person)	Atsi	old / elderly	1058.3	Atsi [Zaiwa] TBL	maŋ²¹  | 1058.30	old		520	TBL		2112	maŋ²¹	maŋ²¹	old / elderly	m a ŋ ²¹	399460	m a - ŋ ²¹	2440	13242
2885	1119	other	old (of person)	Bola	old / elderly	1058.32	Bola (Luxi) TBL	mɔ̃³¹  | 1058.32	old-person		520	TBL		2112	mɔ̃³¹	mɔ̃³¹	old / elderly	m ɔ̃ ∼ ³¹	399462	m ɔ̃ - ∼ ³¹	2440	5254
2888	1119	other	old (of person)	Lashi	old / elderly	1058.33	Leqi (Luxi) TBL	maŋ³³ tso⁵⁵  | 1058.33	old child?		520 1118	TBL		2112	maŋ³³tso⁵⁵	maŋ³³tso⁵⁵	old / elderly	m a ŋ ³³ + ts o ⁵⁵	399463	m a - ŋ ³³ ◦ ts o ⁵⁵	2440 3327	12241
2889	1119	other	old (of person)	Maru	old / elderly	1058.31	Langsu (Luxi) TBL	mɔ̃³⁵  | 1058.31	old		520	TBL		2112	mɔ̃³⁵	mɔ̃³⁵	old / elderly	m ɔ̃ ∼ ³⁵	399461	m ɔ̃ - ∼ ³⁵	2440	13520
2891	1119	other	old (of person)	Xiandao	old / elderly	1058.29	Achang (Xiandao) TBL	mɔŋ³¹  | 1058.29	old		520	TBL		2112	mɔŋ³¹	mɔŋ³¹	old / elderly	m ɔ ŋ ³¹	399459	m ɔ - ŋ ³¹	2440	12778
3281	11	other	red	Achang_Longchuan	red	1007.28	Achang (Longchuan) TBL	na⁵⁵  | 1007.28	red		598	TBL		156	na⁵⁵	na⁵⁵	red	n a ⁵⁵	396908	n a ⁵⁵	2499	10894
3283	11	other	red	Atsi	red	1007.3	Atsi [Zaiwa] TBL	ne⁵¹  | 1007.30	red		598	TBL		156	ne⁵¹	ne⁵¹	red	n e ⁵¹	396910	n e ⁵¹	2499	13266
3285	11	other	red	Bola	red	1007.32	Bola (Luxi) TBL	nɛ⁵⁵  | 1007.32	red		598	TBL		156	nɛ⁵⁵	nɛ⁵⁵	red	n ɛ ⁵⁵	396912	n ɛ ⁵⁵	2499	5274
3289	11	other	red	Lashi	red	1007.33	Leqi (Luxi) TBL	nɛː³¹  | 1007.33	red		598	TBL		156	nɛː³¹	nɛː³¹	red	n ɛː ³¹	396913	n ɛː ³¹	2499	12272
3291	11	other	red	Maru	red	1007.31	Langsu (Luxi) TBL	nɛ³¹  | 1007.31	red		598	TBL		156	nɛ³¹	nɛ³¹	red	n ɛ ³¹	396911	n ɛ ³¹	2499	13570
3292	11	other	red	Xiandao	red	1007.29	Achang (Xiandao) TBL	na⁵⁵  | 1007.29	red		598	TBL		156	na⁵⁵	na⁵⁵	red	n a ⁵⁵	396909	n a ⁵⁵	2499	12827
5424	11	other	red	Rangoon		1007.27					598	TBL		156	ni²²	ni²²	red	n i ²²	396907	n i ²²	2499	10685
5864	11	other	red	Written_Burmese		1007.26					598	TBL		156	ni²	ni²	red	n i ²	396906	n i ²	2499	13062
3649	34	other	sharp	Achang_Longchuan	sharp	1020.28	Achang (Longchuan) TBL	thɔʔ⁵⁵  | 1020.28	sharp	bad concept	651	TBL		1396	thɔʔ⁵⁵	thɔʔ⁵⁵	sharp	tʰ ɔ ʔ ⁵⁵	397567	tʰ ɔ ʔ ⁵⁵	5515	11141
3655	34	other	sharp	Lashi	sharp	1020.33	Leqi (Luxi) TBL	thɔːʔ⁵⁵  | 1020.33	sharp	bad concept	651	TBL		1396	thɔːʔ⁵⁵	thɔːʔ⁵⁵	sharp	tʰ ɔː ʔ ⁵⁵	397572	tʰ ɔː ʔ ⁵⁵	5515	6682
3658	34	other	sharp	Atsi	sharp	1020.3	Atsi [Zaiwa] TBL	thoʔ⁵⁵  | 1020.30	sharp	bad concept	651	TBL		1396	thoʔ⁵⁵	thoʔ⁵⁵	sharp	tʰ o ʔ ⁵⁵	397569	tʰ o ʔ ⁵⁵	5515	2897
3659	34	other	sharp	Bola	sharp	1020.32	Bola (Luxi) TBL	thaʔ⁵⁵  | 1020.32	sharp	bad concept	651	TBL		1396	thaʔ⁵⁵	thaʔ⁵⁵	sharp	tʰ a ʔ ⁵⁵	397571	tʰ a ʔ ⁵⁵	5515	12639
3660	34	other	sharp	Maru	sharp	1020.31	Langsu (Luxi) TBL	thɔʔ⁵⁵  | 1020.31	sharp	bad concept	651	TBL		1396	thɔʔ⁵⁵	thɔʔ⁵⁵	sharp	tʰ ɔ ʔ ⁵⁵	397570	tʰ ɔ ʔ ⁵⁵	5515	13364
5398	34	other	sharp	Rangoon		1020.27				bad concept	651	TBL		1396	thɛʔ⁴	tʰɛʔ⁴	sharp	tʰ ɛ ʔ ⁴	397566	tʰ ɛ ʔ ⁴	5515	3461
5838	34	other	sharp	Written_Burmese		1020.26				bad concept	651	TBL		1396	thɑk	tʰɑk	sharp	tʰ a k	397565	tʰ a k -	5515	1664
6356	106		shy	Written_Burmese	shy, be / bashful	1365.26	Burmese (Written)	hrɑk⁴			46	TBL		487		hrɑk⁴		ɕ a k ⁴	33525	ɕ a k ⁴	379	11532
4112	61	other	straight	Achang_Longchuan	straight	1003.28	Achang (Longchuan) TBL	tan³¹  | 1003.28	straight	bad concept	730	TBL		1404	tan³¹	tan³¹	straight	t a n ³¹	396699	t a n ³¹	5734	11083
4115	61	other	straight	Bola	straight	1003.32	Bola (Luxi) TBL	tɛ̃³⁵  | 1003.32	straight	bad concept	730	TBL		1404	tɛ̃³⁵	tɛ̃³⁵	straight	t ɛ̃ ∼ ³⁵	396703	t ɛ̃ ∼ ³⁵	5734	12678
4118	61	other	straight	Lashi	straight	1003.33	Leqi (Luxi) TBL	taːn³³  | 1003.33		bad concept	730	TBL		1404	taːn³³	taːn³³	straight	t aː n ³³	396704	t aː n ³³	5734	12318
5974	64	other	straight	Written_Burmese		1003.26				bad concept	729	TBL		1404	phrɔŋ¹	pʰrɔŋ¹	straight (horizontal)	pʰ r o ŋ ¹	396697	pʰ r o - ŋ ¹	2160	13086
5998	0	other	straight	Written_Burmese		1003.26				bad concept	22	TBL		1404	mɑt⁴	mɑt⁴	straight	m a t ⁴	434579	m a t ⁴	2160	13086
5698	1153	verb	the dream	Written_Burmese		1821.26			dream		224	TBL		2374	mɑk⁴	mɑk⁴	dream	m a k ⁴	434506	m a k ⁴	126	11833
343	594	verb	to bite	Bola	bite v.	1753.32	Bola (Luxi) TBL	pɛ̃³¹  | 1753.32	bite	bad concept	89	TBL		1403	pɛ̃³¹	pɛ̃³¹	bite	p ɛ̃ ∼ ³¹	431353	p ɛ̃ ∼ ³¹	1774	2198
350	595	verb	to bite	Lashi	bite v.	1753.33	Leqi (Luxi) TBL	ŋaːt³¹  | 1753.33		bad concept	1024	TBL		1403	ŋaːt³¹	ŋaːt³¹	bite	ŋ aː t ³¹	431354	ŋ aː t ³¹	1761	7002
5500	1134	verb	to blow (of wind)	Rangoon		1738.27					13 17	TBL		175	n̥ɑʔ⁴ȵiʔ⁴	n̥ɑʔ⁴ȵiʔ⁴	blow (one's nose)	n̥ ɑ ʔ ⁴ + nʲ i ʔ ⁴	430648	n̥ ɑ ʔ ⁴ ◦ nʲ i ʔ ⁴	805 10002	8763
5938	1134	verb	to blow (of wind)	Written_Burmese		1738.26					13 17	TBL		175	hnɑp⁴ hȵɑs⁴	hnɑp⁴◦hȵɑs⁴	blow (one's nose)	n̥ a p ⁴ + ŋ̊ʲ a ts ⁴	430647	n̥ a p ⁴ ◦ ŋ̊ʲ a ts ⁴	805 10006	11519
6396	140		to chew	Maru	chew	1424.31	Langsu (Luxi)	vɔ³⁵	chew		73	TBL		321		vɔ³⁵		v ɔ ³⁵	44547	v ɔ ³⁵	688	4416
6465	140		to chew	Rangoon	chew	1424.27	Burmese (Rangoon)	wɑ⁵⁵			73	TBL		321		wɑ⁵⁵		w ɑ ⁵⁵	35484	w ɑ ⁵⁵	688	5910
6504	140		to chew	Bola	chew	1424.32	Bola (Luxi)	va³¹	chew		73	TBL		321		va³¹		v a ³¹	46376	v a ³¹	688	8623
6545	140		to chew	Written_Burmese	chew	1424.26	Burmese (Written)	wɑ³	chew		73	TBL		321		wɑ³		w a ³	33587	w a ³	688	3234
697	621	verb	to come	Xiandao	come v.	1491.29	Achang (Xiandao) TBL	lɔ⁵⁵  | 1491.29	come		157	TBL		1446	lɔ⁵⁵	lɔ⁵⁵	come	l ɔ ⁵⁵	419017	l ɔ ⁵⁵	3569	12119
5625	621	verb	to come	Rangoon		1491.27					157	TBL		1446	lɑ²²	lɑ²²	come	l ɑ ²²	419015	l ɑ ²²	3569	4245
6061	621	verb	to come	Written_Burmese		1491.26					157	TBL		1446	lɑɑ²	lɑɑ²	come	l a ²	419014	l a ²	3569	11813
5522	1145	verb	to count	Rangoon		1640.27			count		166	TBL		1420	je²²	je²²	count (numbers)	j e ²²	426044	j e ²²	2738	3934
5960	1145	verb	to count	Written_Burmese		1640.26			count		166	TBL		1420	re²	re²	count (numbers)	r e ²	426043	r e ²	2738	11949
6140	80		to cry (weep)	Lashi	cry	1485.33	Leqi (Luxi)	ŋaːu³¹	cry		32	TBL		1420		ŋaːu³¹		ŋ aː u ³¹	48174	ŋ aː u - ³¹	1104	7005
6197	80		to cry (weep)	Xiandao	cry	1485.29	Achang (Xiandao)	ŋau⁵⁵	cry		32	TBL		1420		ŋau⁵⁵		ŋ a u ⁵⁵	39059	ŋ a u - ⁵⁵	1104	986
6300	80		to cry (weep)	Bola	cry	1485.32	Bola (Luxi)	ŋau⁵⁵	cry		32	TBL		1420		ŋau⁵⁵		ŋ a u ⁵⁵	46434	ŋ a u - ⁵⁵	1104	8646
6377	80		to cry (weep)	Achang_Longchuan	cry	1485.28	Achang (Longchuan)	ŋau⁵⁵	cry		32	TBL		1420		ŋau⁵⁵		ŋ a u ⁵⁵	37346	ŋ a u - ⁵⁵	1104	2676
6418	80		to cry (weep)	Maru	cry	1485.31	Langsu (Luxi)	ŋuk³¹			32	TBL		1420		ŋuk³¹		ŋ u k ³¹	44602	ŋ u - k ³¹	1104	4458
6496	80		to cry (weep)	Rangoon	cry	1485.27	Burmese (Rangoon)	ŋo²²			32	TBL		1420		ŋo²²		ŋ o ²²	35547	ŋ o - - ²²	1104	5921
6556	80		to cry (weep)	Atsi	cry	1485.3	Atsi [Zaiwa]	ŋau⁵¹	cry		32	TBL		1420		ŋau⁵¹		ŋ a u ⁵¹	42831	ŋ a u - ⁵¹	1104	4945
6574	80		to cry (weep)	Written_Burmese	cry	1485.26	Burmese (Written)	ŋo²			32	TBL		1420		ŋo²		ŋ ə ²	33650	ŋ ə - - ²	1104	3246
888	670	verb	to die	Bola	die	1651.32	Bola (Luxi) TBL	ʃɿ⁵⁵  | 1651.32	die		199	TBL		1494	ʃɿ⁵⁵	ʃɿ⁵⁵	die	ʃ ɿ ⁵⁵	426591	ʃ ɿ - - ⁵⁵	27	8706
893	670	verb	to die	Lashi	die	1651.33	Leqi (Luxi) TBL	ʃeːi³³  | 1651.33	die		199	TBL		1494	ʃeːi³³	ʃeːi³³	die	ʃ eː i ³³	426592	ʃ eː i - ³³	27	7101
896	670	verb	to die	Maru	die	1651.31	Langsu (Luxi) TBL	ʃik³¹  | 1651.31	die		199	TBL		1494	ʃik³¹	ʃik³¹	die	ʃ i k ³¹	426590	ʃ i - k ³¹	27	4491
898	670	verb	to die	Xiandao	die	1651.29	Achang (Xiandao) TBL	ʂɿ⁵⁵  | 1651.29	die		199	TBL		1494	ʂɿ⁵⁵	ʂɿ⁵⁵	die	ʂ ɿ ⁵⁵	426588	ʂ ɿ - - ⁵⁵	27	1841
5451	1146	verb	to die	Rangoon		1651.27					199	TBL		1494	tθe²²	tθe²²	die	tθ e ²²	426586	tθ e - - ²²	27	3765
5890	1146	verb	to die	Written_Burmese		1651.26					199	TBL		1494	tθe²	tθe²	die	s e ²	426585	s e - - ²	27	1751
917	675	verb	to dig	Lashi	dig / scoop out v.	1698.33	Leqi (Luxi) TBL	tuː³³  | 1698.33		bad concept	204	TBL		1418	khaːi⁵³	tuː³³	dig / scoop out	t uː ³³	428804	t uː - ³³	3573	6801
920	675	verb	to dig	Xiandao	dig / scoop out v.	1698.29	Achang (Xiandao) TBL	tu³¹  | 1698.29		bad concept	204	TBL		1418	tu³¹	tu³¹	dig / scoop out	t u ³¹	428800	t u - ³¹	3573	789
921	675	verb	to dig	Achang_Longchuan	dig / scoop out v.	1698.28	Achang (Longchuan) TBL	tu³¹  | 1698.28		bad concept	204	TBL		1418	tu³¹	tu³¹	dig / scoop out	t u ³¹	428799	t u - ³¹	3573	2326
5516	675	verb	to dig	Rangoon		1698.27				bad concept	204	TBL		1418	tu⁵⁵	tu⁵⁵	dig / scoop out	t u ⁵⁵	428798	t u - ⁵⁵	3573	3530
5954	675	verb	to dig	Written_Burmese		1698.26			dig	bad concept	204	TBL		1418	tu³	tu³	dig / scoop out	t u ³	428797	t u - ³	3573	1712
1012	174	verb	to drink	Bola	drink v.	1370.32	Bola (Luxi) TBL	ʃauʔ⁵⁵  | 1370.32	drink		228	TBL		1401	ʃauʔ⁵⁵	ʃauʔ⁵⁵	drink	ʃ a u ʔ ⁵⁵	413617	ʃ a u ʔ ⁵⁵	3462	8698
1015	174	verb	to drink	Lashi	drink v.	1370.33	Leqi (Luxi) TBL	ʃuːk⁵⁵  | 1370.33	drink		228	TBL		1401	ʃuːk⁵⁵	ʃuːk⁵⁵	drink	ʃ uː k ⁵⁵	413618	ʃ uː - k ⁵⁵	3462	7114
1017	174	verb	to drink	Maru	drink v.	1370.31	Langsu (Luxi) TBL	ʃauk⁵⁵  | 1370.31			228	TBL		1401	ʃauk⁵⁵	ʃauk⁵⁵	drink	ʃ a u k ⁵⁵	413616	ʃ a u k ⁵⁵	3462	4489
5542	174	verb	to drink	Rangoon		1370.27					228	TBL		1401	tθɑuʔ⁴	tθɑuʔ⁴	drink	tθ ɑ u ʔ ⁴	413612	tθ ɑ u ʔ ⁴	3462	5820
5979	174	verb	to drink	Written_Burmese		1370.26					228	TBL		1401	tθɔk⁴	tθɔk⁴	drink	s o k ⁴	413611	s o - k ⁴	3462	1768
1129	700	verb	to eat	Lashi	eat	1198.33	Leqi (Luxi) TBL	tsɔː³³  | 1198.33	eat		245	TBL		1336	tsɔː³³	tsɔː³³	eat	ts ɔː ³³	405917	ts ɔː ³³	36	6768
1132	700	verb	to eat	Maru	eat	1198.31	Langsu (Luxi) TBL	tsɔ³⁵  | 1198.31	eat		245	TBL		1336	tsɔ³⁵	tsɔ³⁵	eat	ts ɔ ³⁵	405915	ts ɔ ³⁵	36	13402
1447	726	verb	to flow	Atsi	flow 2	1502.3	Atsi [Zaiwa] TBL	jui⁵¹  | 1502.30	flow		294	TBL		2003	jui⁵¹	jui⁵¹	flow (of water)	j u i ⁵¹	419568	j u i - ⁵¹	2428	7274
